seed,descriptor_set,candidate,C,gamma,epsilon,val_mse,val_mae,fit_seconds,mean_support_vector_ratio,selected
1,oracle_full,rbf_svr_C_300_gamma_0p003_eps_0.04,300.0,0.003,0.04,0.001922370931925837,0.02757076541662094,1.086968167044688,0.29083333333333333,False
1,oracle_full,rbf_svr_C_300_gamma_0p01_eps_0.02,300.0,0.01,0.02,0.0021197097850796276,0.02693069615673269,2.8640457920264453,0.5404761904761904,False
1,oracle_full,rbf_svr_C_300_gamma_0p01_eps_0.03,300.0,0.01,0.03,0.0022909591853481764,0.029509406105479835,1.7634755829931237,0.4255952380952381,False
1,oracle_full,rbf_svr_C_300_gamma_0p01_eps_0.04,300.0,0.01,0.04,0.0025456219084103635,0.03277163566981559,1.175549333973322,0.34845238095238096,False
1,oracle_full,rbf_svr_C_500_gamma_0p0005_eps_0.02,500.0,0.0005,0.02,0.0023793358973654578,0.0272794271223287,1.3950047090183944,0.49202380952380953,False
1,oracle_full,rbf_svr_C_500_gamma_0p0005_eps_0.03,500.0,0.0005,0.03,0.0024186976655760323,0.02943343988979486,1.018526791012846,0.3852380952380952,False
1,oracle_full,rbf_svr_C_500_gamma_0p0005_eps_0.04,500.0,0.0005,0.04,0.002546884868695077,0.03200236147338955,0.7300709580304101,0.3036904761904762,False
1,oracle_full,rbf_svr_C_500_gamma_0p00075_eps_0.02,500.0,0.00075,0.02,0.002073956374258962,0.025394884290794232,1.8245057500316761,0.4807142857142857,False
1,oracle_full,rbf_svr_C_500_gamma_0p00075_eps_0.03,500.0,0.00075,0.03,0.002135507041756843,0.027218630710409038,1.514316416985821,0.3653571428571429,False
1,oracle_full,rbf_svr_C_500_gamma_0p00075_eps_0.04,500.0,0.00075,0.04,0.0022936777548596106,0.029805733492026285,1.0508294170140289,0.28559523809523807,False
1,oracle_full,rbf_svr_C_500_gamma_0p001_eps_0.02,500.0,0.001,0.02,0.0019046139939216452,0.024561218419986198,2.452805124979932,0.4692857142857143,False
1,oracle_full,rbf_svr_C_500_gamma_0p001_eps_0.03,500.0,0.001,0.03,0.0019706282000174313,0.026276020411694394,1.778372583037708,0.3563095238095238,False
1,oracle_full,rbf_svr_C_500_gamma_0p001_eps_0.04,500.0,0.001,0.04,0.0021417219165785297,0.02863281397046746,1.204162042005919,0.2854761904761905,False
1,oracle_full,rbf_svr_C_500_gamma_0p003_eps_0.02,500.0,0.003,0.02,0.001622577860039516,0.02342040394380715,4.964832040946931,0.4857142857142857,True
